user_input,retrieved_contexts,response,reference,nv_accuracy,faithfulness,nv_context_relevance
¿Que ha supuesto el compromiso de Atresmedia con la seguridad vial extendida a sus empleados?,"['El compromiso de Atresmedia con la seguridad vial también se extiende a sus empleados, por ello en 2017 se ha celebrado la segunda Semana de la Educación Vial, con el objetivo de formar y sensibilizar a la plantilla en esta materia.', 'Atresmedia es consciente de la decisiva labor de las empresas para la consecución de estas importantes metas y, por ese motivo, apoya con sus políticas, iniciativas y capacidad de difusión, la consecución de aquellos ODS en los que la contribución de la Compañía puede ser mayor y de especial incidencia.', 'El evento fue posible gracias a la colaboración de Atresmedia y una de las principales distribuidoras con las que trabaja, Warner Bros.', 'Esta estrategia marcará, previsiblemente, la pauta del posicionamiento futuro en este complejo sector respecto al resto de operadores audiovisuales, dado que permite una mayor especialización y una significativa disminución del riesgo de negocio para Atresmedia.', 'Atresmedia, primer grupo de comunicación audiovisual socio de Forética Atresmedia ha firmado un convenio de colaboración con Forética en virtud del cual la compañía audiovisual se convierte en el primer grupo de comunicación en ser socio de una de las entidades de referencia en RSE y sostenibilidad de España y Latinoamérica.']","en 2017 se ha celebrado la segunda Semana de la Educación Vial, con el objetivo de formar y sensibilizar a la plantilla en esta materia","en 2017 se ha celebrado la segunda Semana de la Educación Vial, con el objetivo de formar y sensibilizar a la plantilla en esta materia",1.0,1.0,1.0
¿Por qué se buscan procesos más eficientes para lograr un entorno más sostenible?,"['Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', 'El Grupo ACS considera prioritaria la eficiencia del consumo de recursos y la reducción de la generación de residuos, ya que una estrategia efectiva en estos aspectos implica beneficios en una doble vertiente. Por un lado, se reduce el impacto ambiental sobre el entorno y, por otro, se reduce el gasto necesario para la compra o tratamiento de los mismos.', 'Gracias a la introducción de tecnologías innovadoras y el desarrollo de nuevas soluciones y procesos de negocio, buscamos convertirnos en un Grupo más efectivo, eficiente y orientado al cliente.', 'Llevamos años siendo cada vez más y más eficientes, por eso también cada vez es más difícil mejorar.', 'En 2015, a pesar de avanzar en la certificación de nuevos sistemas de gestión ambiental conforme a ISO 14001 y a los requisitos internos, se ha registrado una disminución del porcentaje de ebitda certificado, como consecuencia de la incorporación de nuevas actividades en Chile donde se está trabajando en adaptarlas a los referenciales internacionales y a los requerimientos internos en materia de gestión ambiental. En materia de cambio climático este año se ha mantenido el avance de los diferentes proyectos encaminados a la determinación de nuestra huella de carbono e identificación de los riesgos y oportunidades derivados del cambio climático.']",Somos conscientes del impacto de nuestra actividad en la sociedad,Somos conscientes del impacto de nuestra actividad en la sociedad,1.0,1.0,1.0
¿Cuál es la consecuencia de la adquisición?,"['Como resultado de la adquisición, Vidrala incrementará su notoriedad en el mercado de envases de vidrio europeo, aportando tamaño, diversificación y futuro a una base de negocio de solidez demostrada.', 'Esto redunda en una mejora de la autoestima, incrementando el orgullo de pertenencia a la empresa, y, por consiguiente, en la atracción y retención del talento.', 'Los cambios también han afectado a la distribución que debe adaptarse a los nuevos gustos. Aparecen nuevas opciones frente a la distribución tradicional como la compra por internet (super on line) donde el crecimiento es muy relevante y las posiciones de los principales actores en muchas ocasiones es distinta a la que tiene la distribución tradicional. Como resultado, hemos asistido a operaciones de fusión/concentración en algunos mercados relevantes.', 'Esta operación es positiva para los accionistas, ya que se estima que mejora el beneficio por acción (BPA) desde 2016.', 'Cuando el grupo actúa como arrendador de un bien, la suma de los valores actuales de los importes que recibirá del arrendatario se registra como una financiación prestada a terceros, por lo que se incluye en el epígrafe de ""Préstamos y partidas a cobrar"" del balance consolidado. Esta financiación incorpora el precio de ejercicio de la opción de compra a favor del arrendatario al vencimiento del contrato en los casos en que dicho precio de ejercicio sea suficientemente inferior al valor razonable del bien a la fecha de vencimiento de la opción, de modo que sea razonablemente probable que vaya a ejercerse.']","Vidrala incrementará su notoriedad en el mercado de envases de vidrio europeo, aportando tamaño, diversificación y futuro a una base de negocio de solidez demostrada","Vidrala incrementará su notoriedad en el mercado de envases de vidrio europeo, aportando tamaño, diversificación y futuro a una base de negocio de solidez demostrada",1.0,1.0,1.0
¿Qué efecto produce la existencia de transacciones relevantes en moneda extranjera?,"['Asimismo, y tal y como se describe en la nota 31.2.o, el Grupo aplica la contabilidad de coberturas al objeto de mitigar la volatilidad que se produciría en la cuenta de pérdidas y ganancias consolidada como consecuencia de la existencia de transacciones relevantes en moneda extranjera.', 'La entidad mantiene políticas de cobertura con el objetivo prioritario de minimizar el impacto negativo debido a movimientos adversos de los mercados de los cambios de divisas sobre las ratios de capital, así como sobre los resultados generados en su negocio en divisa. Las operaciones de cobertura cubren el riesgo de cambio de las inversiones realizadas en las sociedades del grupo radicadas en países cuya moneda funcional no es el euro (véase nota 4.4.3.1 apartado Riesgo estructural de tipo de cambio).', 'Otro factor que ha influido en esta caída de la rentabilidad ha sido la devaluación en un 23% del dólar canadiense ya que aproximadamente un 25% de los recursos de este subgrupo se generan en esta moneda (Catelli).', 'Como consecuencia de la intervención del BCe en los mercados, la excepcionalidad en el área euro es tal que los tipos de interés negativos de la deuda pública se han convertido en habituales.', 'El impacto de esta reforma global sobre la actividad económica es objeto de interés creciente, ya que representa un posible freno para el crecimiento económico.']",la volatilidad que se produciría en la cuenta de pérdidas y ganancias consolidada,el Grupo aplica la contabilidad de coberturas al objeto de mitigar la volatilidad que se produciría en la cuenta de pérdidas y ganancias consolidada ,0.5,1.0,1.0
"¿Por qué lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica?, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea","['Sin embargo, lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea.', 'En los tres últimos años, la Compañía ha logrado unos sólidos resultados financieros que han hecho que el BPA ajustado de 2016 alcance los 90,2 céntimos de euro. En consecuencia, los derechos asignados en 2014 bajo el plan de acciones por desempeño, se consolidarán en 2016 en su nivel máximo en lo que respecta al parámetro de BPA. El precio de la acción registró un fuerte crecimiento en los dos primeros años y medio de los tres que integran el período de desempeño, aunque sufrió una importante caída tras el resultado del referéndum sobre la UE celebrado en el Reino Unido.', 'Europa ha tenido una primera mitad del año con fuerte incremento del consumo aparente, debido al incremento en la utilización por parte de los clientes finales pero también debido a la recuperación de stocks en la cadena de suministro.', 'otros movimientos que se han producido a lo largo del año han sido la reducción de las rentabilidades de la curvas de los países periféricos de la eurozona, con la excepción de Grecia, cuyas rentabilidades han aumentado sustancialmente en la última parte del año debido a la inestabilidad política.', 'La región EMEA se espera que continúe presentando resultados positivos de cara a los próximos meses, ya que las dinámicas de mercado en Europa siguen siendo buenas tanto en los segmentos vacacional, como urbano.']","el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea","el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea",1.0,1.0,1.0
¿Por qué se dan crecimientos generalizados por unidades?,"['Por unidades, crecimientos generalizados, ya que nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito.', 'Los estímulos gubernamentales parecen estar fomentando el crecimiento por medio tanto del consumo privado, que está redundando en una mejora de la confianza de los consumidores, como de la inversión, la cual está aumentando gracias a las facilidades de acceso al crédito impulsadas por el Fondo de Garantía del Crédito (CGF, por su siglas en inglés).', 'Importante crecimiento de los ROF (+15,9% interanual), gracias al muy buen desempeño de la Unidad de Global Markets, fundamentalmente durante la primera parte del ejercicio.', 'En un entorno de crecimiento económico tanto a nivel nacional como global – el PIB de España repuntó un 3,1% en 2017 en tasa interanual y el de la economía mundial un 3,7%- hemos sabido avanzar de forma firme pero no podemos olvidar que las incertidumbres del entorno pueden afectar a cualquier compañía de dimensión internacional y por ello, es importante contar con una relativa diversificación de la actividad.', 'Desde la fusión, sigue creciendo todos los meses respecto al mismo mes del año anterior, con lo que encadena, a cierre del Ejercicio 2014, 27 meses de crecimiento ininterrumpido.']","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito",1.0,1.0,1.0
Con la revisión del estado actual de las instalaciones ¿qué se ha conseguido?,"['Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'Como consecuencia de las conclusiones que ofreció este informe, se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años.', 'Gracias a estas y otras mejoras, las incidencias en todas las plataformas se han reducido en un 61% con respecto al año anterior.', 'Nuestra evolución en los últimos años y nuestras fortalezas nos permiten acelerar nuestra transformación', 'Gran parte de las líneas están en proceso de ejecución, dado que muchos de los objetivos propuestos se han trazado a 2015.']",se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética,unas propuestas de mejora de ahorro y eficiencia energética,0.75,1.0,1.0
¿Qué implica el hecho de que esta nueva revolución esté creando también nuevos desafíos sociales y de sostenibilidad? ,"['Esta nueva revolución está creando también nuevos desafíos sociales y de sostenibilidad, por lo que debemos estar preparados para hacerles frente.', 'Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', 'Simultáneamente, hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa, ya que también abarcará cuestiones adicionales de sostenibilidad ambiental.', 'La revolución digital, y sus implicaciones en términos de cambio de los procesos productivos, está llegando cada vez a un mayor número de sectores. Por ello, Dominion ofrece hoy soluciones y servicios a empresas en un amplio abanico de sectores y es previsible que este número se incremente en el futuro próximo.', 'Nuestra evolución en los últimos años y nuestras fortalezas nos permiten acelerar nuestra transformación']",debemos estar preparados para hacerles frente,debemos estar preparados para hacerles frente,1.0,1.0,1.0
¿A qué se debe que hayan participado personas con discapacidad?,"['Participando personas con discapacidad gracias a una beca David Feduchy.', 'Personas a las que quiero hacer llegar desde aquí mi más sincero agradecimiento, pues su contribución y compromiso han sido, y son, piedra angular para la consecución de nuestros objetivos y para nuestro futuro.', 'El evento fue posible gracias a la colaboración de Atresmedia y una de las principales distribuidoras con las que trabaja, Warner Bros.', 'Gracias a esta intervención, se ha atendido a cerca de 70.000 personas en consultas externas y de salud mental.', 'Applus+ cuenta con profesionales de gran talento, comprometidos y apasionados, que han contribuido al crecimiento y a la diversificación del negocio durante muchos años y por este motivo me gustaría expresarles mi agradecimiento por la gran labor que han realizado.']",a una beca David Feduchy,a una beca David Feduchy,1.0,1.0,0.5
¿En qué se han traducido los compromisos adquiridos en el Plan de Recapitalization?,"['Como consecuencia de los compromisos adquiridos en el Plan de Recapitalización, la actividad de la entidad en los mercados financieros se mantuvo reducida.', '2014 ha sido el primer año de la ejecución del Plan Estratégico a cinco años, un ejercicio en el que la Compañía ha vivido una profunda transformación gracias a la puesta en marcha de las iniciativas del Plan y sus positivos resultados.', 'Gran parte de las líneas están en proceso de ejecución, dado que muchos de los objetivos propuestos se han trazado a 2015.', 'En los tres últimos años, la Compañía ha logrado unos sólidos resultados financieros que han hecho que el BPA ajustado de 2016 alcance los 90,2 céntimos de euro. En consecuencia, los derechos asignados en 2014 bajo el plan de acciones por desempeño, se consolidarán en 2016 en su nivel máximo en lo que respecta al parámetro de BPA. El precio de la acción registró un fuerte crecimiento en los dos primeros años y medio de los tres que integran el período de desempeño, aunque sufrió una importante caída tras el resultado del referéndum sobre la UE celebrado en el Reino Unido.', 'Los equipos han seguido trabajando en la homogeneización de la flota en tres ámbitos: configuración de la cabina, sistemas de aviónica y equipamiento para casos de emergencia. La homogeneización se ha extendido a todas las nuevas aeronaves, incluidos los nuevos Airbus A320neo y los Airbus A350. El objetivo del programa sigue siendo reducir los gastos de explotación gracias a la simplificación de la flota y a inversiones en inmovilizado ágiles y flexibles.']",la actividad de la entidad en los mercados financieros se mantuvo reducida,la actividad de la entidad en los mercados financieros se mantuvo reducida,1.0,1.0,1.0
