user_input,retrieved_contexts,response,reference,nv_accuracy,faithfulness,nv_context_relevance
¿Que ha supuesto el compromiso de Atresmedia con la seguridad vial extendida a sus empleados?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.']",el 97% son reciclados por empresas especializadas,"en 2017 se ha celebrado la segunda Semana de la Educación Vial, con el objetivo de formar y sensibilizar a la plantilla en esta materia",0.0,1.0,0.0
¿Por qué se buscan procesos más eficientes para lograr un entorno más sostenible?,"['Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', '• Construir un Prosegur más ágil, rápido, consistente y homogéneo, gracias a la simplificación de procesos y estructuras que redunden en una mejor toma de decisiones', 'El Grupo ACS considera prioritaria la eficiencia del consumo de recursos y la reducción de la generación de residuos, ya que una estrategia efectiva en estos aspectos implica beneficios en una doble vertiente. Por un lado, se reduce el impacto ambiental sobre el entorno y, por otro, se reduce el gasto necesario para la compra o tratamiento de los mismos.', 'Este sistema supone un importante avance en el impacto medioambiental ya que los sistemas de purificación propuestos eliminan impurezas, productos químicos e imperfecciones sin perjudicar la calidad del agua consumible por el cliente, reduciendo además espacio de almacenaje, costes económicos y tiempo por la gestión logística del producto.', 'Gracias a la introducción de tecnologías innovadoras y el desarrollo de nuevas soluciones y procesos de negocio, buscamos convertirnos en un Grupo más efectivo, eficiente y orientado al cliente.']",Somos conscientes del impacto de nuestra actividad en la sociedad,Somos conscientes del impacto de nuestra actividad en la sociedad,0.75,1.0,1.0
¿Cuál es la consecuencia de la adquisición?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.']","También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16","Vidrala incrementará su notoriedad en el mercado de envases de vidrio europeo, aportando tamaño, diversificación y futuro a una base de negocio de solidez demostrada",0.0,0.5714285714285714,0.0
¿Qué efecto produce la existencia de transacciones relevantes en moneda extranjera?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.']",el 97% son reciclados por empresas especializadas,el Grupo aplica la contabilidad de coberturas al objeto de mitigar la volatilidad que se produciría en la cuenta de pérdidas y ganancias consolidada ,0.0,0.75,0.0
"¿Por qué lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica?, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea","['Sin embargo, lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea.', 'En los tres últimos años, la Compañía ha logrado unos sólidos resultados financieros que han hecho que el BPA ajustado de 2016 alcance los 90,2 céntimos de euro. En consecuencia, los derechos asignados en 2014 bajo el plan de acciones por desempeño, se consolidarán en 2016 en su nivel máximo en lo que respecta al parámetro de BPA. El precio de la acción registró un fuerte crecimiento en los dos primeros años y medio de los tres que integran el período de desempeño, aunque sufrió una importante caída tras el resultado del referéndum sobre la UE celebrado en el Reino Unido.', 'Europa ha tenido una primera mitad del año con fuerte incremento del consumo aparente, debido al incremento en la utilización por parte de los clientes finales pero también debido a la recuperación de stocks en la cadena de suministro.', 'Como consecuencia de las conclusiones que ofreció este informe, se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años.', 'Es cierto que se ha registrado una desaceleración de la actividad en la segunda parte de 2015 respecto a lo observado en el primer semestre debido a la ralentización de la demanda mundial, el agotamiento de algunos factores cíclicos y el aumento de la incertidumbre, en parte ligada al ciclo electoral español, pero las previsiones indican que se alcanzará un incremento del PIB de alrededor de un 2,7% para 2016.']","Es cierto que se ha registrado una desaceleración de la actividad en la segunda parte de 2015 respecto a lo observado en el primer semestre debido a la ralentización de la demanda mundial, el agotamiento de algunos factores cíclicos y el aumento de la incertidumbre, en parte ligada al ciclo electoral español, pero las previsiones indican que se alcanzará un incremento del PIB de alrededor de un 2,7% para 2016","el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea",0.0,1.0,1.0
¿Por qué se dan crecimientos generalizados por unidades?,"['Por unidades, crecimientos generalizados, ya que nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito.', 'Desde la fusión, sigue creciendo todos los meses respecto al mismo mes del año anterior, con lo que encadena, a cierre del Ejercicio 2014, 27 meses de crecimiento ininterrumpido.', 'Importante crecimiento de los ROF (+15,9% interanual), gracias al muy buen desempeño de la Unidad de Global Markets, fundamentalmente durante la primera parte del ejercicio.', 'En un entorno de crecimiento económico tanto a nivel nacional como global – el PIB de España repuntó un 3,1% en 2017 en tasa interanual y el de la economía mundial un 3,7%- hemos sabido avanzar de forma firme pero no podemos olvidar que las incertidumbres del entorno pueden afectar a cualquier compañía de dimensión internacional y por ello, es importante contar con una relativa diversificación de la actividad.', 'Un crecimiento que hemos alcanzado sin realizar ampliaciones de capital y gracias a una política prudente de distribución del dividendo.']","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito",1.0,1.0,1.0
Con la revisión del estado actual de las instalaciones ¿qué se ha conseguido?,"['Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'Como consecuencia de las conclusiones que ofreció este informe, se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años.', 'Gran parte de las líneas están en proceso de ejecución, dado que muchos de los objetivos propuestos se han trazado a 2015.', 'Gracias a estas y otras mejoras, las incidencias en todas las plataformas se han reducido en un 61% con respecto al año anterior.', 'Nuestra evolución en los últimos años y nuestras fortalezas nos permiten acelerar nuestra transformación']",se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética,unas propuestas de mejora de ahorro y eficiencia energética,0.75,1.0,1.0
¿Qué implica el hecho de que esta nueva revolución esté creando también nuevos desafíos sociales y de sostenibilidad? ,"['Esta nueva revolución está creando también nuevos desafíos sociales y de sostenibilidad, por lo que debemos estar preparados para hacerles frente.', 'Nuestra evolución en los últimos años y nuestras fortalezas nos permiten acelerar nuestra transformación', 'Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', 'La revolución digital, y sus implicaciones en términos de cambio de los procesos productivos, está llegando cada vez a un mayor número de sectores. Por ello, Dominion ofrece hoy soluciones y servicios a empresas en un amplio abanico de sectores y es previsible que este número se incremente en el futuro próximo.', 'Simultáneamente, hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa, ya que también abarcará cuestiones adicionales de sostenibilidad ambiental.']",debemos estar preparados para hacerles frente,debemos estar preparados para hacerles frente,1.0,1.0,1.0
¿A qué se debe que hayan participado personas con discapacidad?,"['Participando personas con discapacidad gracias a una beca David Feduchy.', 'El evento fue posible gracias a la colaboración de Atresmedia y una de las principales distribuidoras con las que trabaja, Warner Bros.', 'Con motivo de la celebración del octavo centenario de la Universidad de Salamanca, la Fundación ACS y dicha Universidad firmaron, el día 27 de octubre de 2017, un Convenio de Colaboración para la mejora de la accesibilidad en el Edificio Histórico de la Universidad (Escuelas Mayores) y en el Colegio Mayor Fonseca.', 'Personas a las que quiero hacer llegar desde aquí mi más sincero agradecimiento, pues su contribución y compromiso han sido, y son, piedra angular para la consecución de nuestros objetivos y para nuestro futuro.', 'Gracias a esta intervención, se ha atendido a cerca de 70.000 personas en consultas externas y de salud mental.']",a una beca David Feduchy,a una beca David Feduchy,1.0,1.0,1.0
¿En qué se han traducido los compromisos adquiridos en el Plan de Recapitalization?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.']",el 97% son reciclados por empresas especializadas,la actividad de la entidad en los mercados financieros se mantuvo reducida,0.0,0.6666666666666666,0.0
