retrieval_technique,rerank,top_k,nv_accuracy,faithfulness,nv_context_relevance,average_score
none,True,10,0.86,0.83,0.99,0.8933333333333332
none,True,5,0.84,0.84,0.98,0.8866666666666667
none,False,10,0.85,0.82,0.99,0.8866666666666667
none,False,5,0.83,0.81,0.98,0.8733333333333334
HyDE,True,10,0.8,0.8,0.98,0.86
HyDE,False,10,0.79,0.8,0.98,0.8566666666666668
HyDE,True,5,0.77,0.81,0.96,0.8466666666666667
HyDE,False,5,0.77,0.79,0.97,0.8433333333333334
query_rewriting,False,10,0.56,0.73,0.76,0.6833333333333332
query_rewriting,True,10,0.57,0.75,0.72,0.68
query_rewriting,True,5,0.55,0.7,0.71,0.6533333333333333
query_rewriting,False,5,0.55,0.69,0.66,0.6333333333333333
